INFO:root:Batch Loss (Square Loss): 0.1868 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1734 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1313 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1489 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1791 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1415 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1312 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1495 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1609 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1622 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1344 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2040 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1263 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1393 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1954 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1638 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1596 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1720 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1846 | Accuracy: 0.3750
INFO:root:Epoch 9/100
INFO:root:Batch Loss (Square Loss): 0.2454 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1369 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1460 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1713 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1424 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1338 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1455 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1932 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1286 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1356 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1593 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1668 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1353 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1203 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1286 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1078 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1385 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1932 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1461 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1206 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1429 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.2007 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1381 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1485 | Accuracy: 0.3125
INFO:root:Batch Loss (Square Loss): 0.2892 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1888 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1265 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1386 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1147 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1232 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1265 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1626 | Accuracy: 0.3750
INFO:root:Epoch 10/100
INFO:root:Batch Loss (Square Loss): 0.1802 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.2060 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1555 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1407 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1197 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1135 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1250 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1268 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1409 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1801 | Accuracy: 0.2812
INFO:root:Batch Loss (Square Loss): 0.2392 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.2900 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2526 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1263 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1339 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1565 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1701 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1458 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.2099 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.2310 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1382 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1614 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2616 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1084 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1274 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1301 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1408 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1839 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1872 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1132 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1557 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1978 | Accuracy: 0.5000
INFO:root:Epoch 11/100
INFO:root:Batch Loss (Square Loss): 0.1246 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1169 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1202 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1225 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1284 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1349 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1501 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.2093 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1245 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1320 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.1733 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1335 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1198 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1226 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1270 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1376 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1893 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2628 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.1515 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1830 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1425 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1940 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2212 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1230 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1257 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1627 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.2568 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1581 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1257 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1124 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1318 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1563 | Accuracy: 0.3750
INFO:root:Epoch 12/100
INFO:root:Batch Loss (Square Loss): 0.2477 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1586 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1127 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1396 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2236 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1201 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1445 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2425 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1263 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1859 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2309 | Accuracy: 0.4688
